dblp_index,acm_index
1d4b1c752e7a7ff6a04d8bb0cc3002c2,1d4b1c752e7a7ff6a04d8bb0cc3002c2
1d646f3b13b075230fdff1c964c4473c,1d646f3b13b075230fdff1c964c4473c
1d86271a8bcb3a14440323461ab7079e,1d86271a8bcb3a14440323461ab7079e
1dcf4d8bd4753e1d43ef40d6acdbec42,1dcf4d8bd4753e1d43ef40d6acdbec42
1ddfd5917326a66d0d7de545aaa9e56f,1ddfd5917326a66d0d7de545aaa9e56f
1e1cda995071e2a8ef7a126c64d9fad2,1e1cda995071e2a8ef7a126c64d9fad2
1e4bb8221e2e8e669c8dbb529218c659,1e4bb8221e2e8e669c8dbb529218c659
1e50c8d5e28fbfbfb1291f5d1cbfc382,1e50c8d5e28fbfbfb1291f5d1cbfc382
1ec2c486d51ec3d3117876361fc74c54,1ec2c486d51ec3d3117876361fc74c54
1ec42146354d70c886b253eebd974c47,1ec42146354d70c886b253eebd974c47
1ec8d99dcc56fa30540342dc43bf7f77,1ec8d99dcc56fa30540342dc43bf7f77
1ed49e8ba21a417ae21c205fb07a0ec8,1ed49e8ba21a417ae21c205fb07a0ec8
1ef7e3319c38c44aa6928ab6600d8b42,1ef7e3319c38c44aa6928ab6600d8b42
1f28bc42e4474de5ab1f138c9f2eed85,1f28bc42e4474de5ab1f138c9f2eed85
1f2e0f89a37f488e5522c0377a82427c,1f2e0f89a37f488e5522c0377a82427c
1f52e2ea101b6b3a1412c31566eb21fd,1f52e2ea101b6b3a1412c31566eb21fd
1f7114519190eb40c0c96e81af83673c,1f7114519190eb40c0c96e81af83673c
1fa4407ba2168d2229ca594524102419,1fa4407ba2168d2229ca594524102419
1fdb5d80a4cd09704ea6ec877ef58991,1fdb5d80a4cd09704ea6ec877ef58991
1fe4e20bb0e225dee253bbb476ea0a89,1fe4e20bb0e225dee253bbb476ea0a89
200dfcbf0de1d1a463aea25b837a5820,200dfcbf0de1d1a463aea25b837a5820
206ee238780b11f9cb86e9d140019e73,206ee238780b11f9cb86e9d140019e73
208fed5b90014a1ddf7d9a3c34335ce5,208fed5b90014a1ddf7d9a3c34335ce5
20d6eee7e1500f5ae7e22d70fb921910,20d6eee7e1500f5ae7e22d70fb921910
210c7cdbf1344167c48fb4d70098bf86,210c7cdbf1344167c48fb4d70098bf86
21297c95af3b591fef88e7e77306a983,21297c95af3b591fef88e7e77306a983
212b2b4900e472325ed8c1061d2ffad8,212b2b4900e472325ed8c1061d2ffad8
2132e333ccd792c9a39996e236ef6f5d,2132e333ccd792c9a39996e236ef6f5d
213c2daed8987b8f6e105ea8c0afa2de,213c2daed8987b8f6e105ea8c0afa2de
217fe3cc026ab677859d0162c85239ab,217fe3cc026ab677859d0162c85239ab
21841f9c4c753f02ddc848935e3d1f0a,21841f9c4c753f02ddc848935e3d1f0a
21ae6003bcd6871f813d4232239b2245,21ae6003bcd6871f813d4232239b2245
22cde0c75937fddd6394267977b6849e,22cde0c75937fddd6394267977b6849e
2340715091d3211828c7742b0ebe9ab2,2340715091d3211828c7742b0ebe9ab2
236687643dfa9c70a0caf83557b39f4e,236687643dfa9c70a0caf83557b39f4e
2379bf2e9f84e25899a39bb94c6bf2d6,2379bf2e9f84e25899a39bb94c6bf2d6
23e58c861380e0fa7e0b3e2b91b0495c,23e58c861380e0fa7e0b3e2b91b0495c
23f24d49482b7e517c8df489f3f0c750,23f24d49482b7e517c8df489f3f0c750
23fddf37f09ce8bb73fa70c2df0a749d,23fddf37f09ce8bb73fa70c2df0a749d
2486a945115e5f86fb60a380049e115c,2486a945115e5f86fb60a380049e115c
24d543529d76dbb4953626f96d13ab38,24d543529d76dbb4953626f96d13ab38
24d93974494f43e87745b6a71f241ccb,24d93974494f43e87745b6a71f241ccb
254be8898b77d417e33ce083642eba39,254be8898b77d417e33ce083642eba39
25aab358c6227b34ae06c39074843f94,25aab358c6227b34ae06c39074843f94
25bbdcb63625116d3c46833acccdf38f,25bbdcb63625116d3c46833acccdf38f
25bf99a5f123a0454714cd1443a4fa9e,25bf99a5f123a0454714cd1443a4fa9e
25f8780445a3d5098619cc82060768e0,25f8780445a3d5098619cc82060768e0
2616efcf2d8d212c94cbf7a036defa9f,2616efcf2d8d212c94cbf7a036defa9f
2646fb022d7c996b4a70d90c67119a35,2646fb022d7c996b4a70d90c67119a35
2681aa0929bfa7b9557cea9d9b418278,2681aa0929bfa7b9557cea9d9b418278
268a713c948ebb86341d90aa0cd16cc6,268a713c948ebb86341d90aa0cd16cc6
269899bf33ef3cded1a71a181be8f25e,269899bf33ef3cded1a71a181be8f25e
26e994ddbbdf8c61af7477aad5a9112a,26e994ddbbdf8c61af7477aad5a9112a
272e9d9b15fa8e874d311c8b71cb995a,272e9d9b15fa8e874d311c8b71cb995a
27c7af680a969ccfd78586caf0a08734,27c7af680a969ccfd78586caf0a08734
2841fa11b3e54b5f4c7a5b10a781bcb6,2841fa11b3e54b5f4c7a5b10a781bcb6
2855f26d073732c035153a9d9692106d,2855f26d073732c035153a9d9692106d
285aed9d948ce026d913bf4afd15d4c1,285aed9d948ce026d913bf4afd15d4c1
288c665cabf8ccf85ba3e9b0ae0ebfe9,288c665cabf8ccf85ba3e9b0ae0ebfe9
28e9747b952ed26e4e1574d17ba3cba0,28e9747b952ed26e4e1574d17ba3cba0
293470e9e5d1718be3f58ce67af21c55,293470e9e5d1718be3f58ce67af21c55
294f25adb610fc36b9d0f524d8d9f6fe,294f25adb610fc36b9d0f524d8d9f6fe
298707278e59d4a92d2bd80b011c3865,298707278e59d4a92d2bd80b011c3865
29a3755d3132e360a27c1ba199ca78c9,29a3755d3132e360a27c1ba199ca78c9
29b6dade18f97714f99b419e8e39ee89,29b6dade18f97714f99b419e8e39ee89
2a7f277fd57835daf8ba00d22ac81f22,2a7f277fd57835daf8ba00d22ac81f22
2b470d0a42154e91ab115e8f65d421fb,2b470d0a42154e91ab115e8f65d421fb
2bd04fbbfb3c86c51f5c816016e207d7,2bd04fbbfb3c86c51f5c816016e207d7
2c52197fc8faeef08b86cee7ac265bf6,2c52197fc8faeef08b86cee7ac265bf6
2c9ef23cbec3dc170a3584ca111594cc,2c9ef23cbec3dc170a3584ca111594cc
2caf117ef36cfe3d4e17d5ce0f148c92,2caf117ef36cfe3d4e17d5ce0f148c92
2e091f6f03883af9602b14d8ec0f1a7e,2e091f6f03883af9602b14d8ec0f1a7e
2e4aedd1ec69b30ff9006f2710f14437,2e4aedd1ec69b30ff9006f2710f14437
2e63e1c127445f3c453d4b8f89b2588e,2e63e1c127445f3c453d4b8f89b2588e
2e68ace84c34416e75984620aa970d95,2e68ace84c34416e75984620aa970d95
2e9e3993ec113361f6d906e5e3003ba8,2e9e3993ec113361f6d906e5e3003ba8
2ea32db217e0afcfa9688a090a2152c6,2ea32db217e0afcfa9688a090a2152c6
2ec270c60d176c44f7195b7a1f9b666c,2ec270c60d176c44f7195b7a1f9b666c
2ef9f7f5bf706dc041c7d105f7a05ca3,2ef9f7f5bf706dc041c7d105f7a05ca3
2f4481ca13b2d87843978803248861ab,2f4481ca13b2d87843978803248861ab
30164bbb27d04e9b897e23ab88db47fc,30164bbb27d04e9b897e23ab88db47fc
3053a5937a236ec660825c9236d9a061,3053a5937a236ec660825c9236d9a061
308d2cd42496b05dbb6f84263420796a,308d2cd42496b05dbb6f84263420796a
308d3469f5310697bbb8731f20454cb6,308d3469f5310697bbb8731f20454cb6
3098964595512206f274ea2522533c4c,3098964595512206f274ea2522533c4c
30b567f8a8f3f9461e41ce74d0615c05,30b567f8a8f3f9461e41ce74d0615c05
310c651f4805218381b75903eaca0b47,310c651f4805218381b75903eaca0b47
31454cfe80bc11a52269141514628fbd,31454cfe80bc11a52269141514628fbd
324831875ab898948a518cbd677b87e8,324831875ab898948a518cbd677b87e8
327213e70aea3e27d7d92ffa5fd9fb5e,327213e70aea3e27d7d92ffa5fd9fb5e
32a9e2fe776f1d4af9ca805140e9ef20,32a9e2fe776f1d4af9ca805140e9ef20
